train,stations
train_1,"[Eindhoven, Weert, Roermond, Sittard, Heerlen]"
train_1,"[Alkmaar, Castricum, Beverwijk]"
train_1,"[Dordrecht, Breda, Tilburg, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
train_1,"[Etten-Leur, Roosendaal, Vlissingen]"
train_1,"[Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_1,"[Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_1,"[Rotterdam Centraal, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Gouda, Den Haag Laan v NOI, Delft, Den Haag Centraal, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Zaandam, Castricum]"
train_1,"[Den Haag Centraal, Leiden Centraal, Den Haag Laan v NOI, Delft, Schiedam Centrum]"
train_1,"[Maastricht, Sittard, Heerlen]"
train_1,"[Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_1,"[Schiedam Centrum, Delft, Den Haag HS]"
train_1,"[Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal]"
train_1,"[Den Helder, Alkmaar, Castricum, Beverwijk]"
train_1,"[Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_1,"[Leiden Centraal, Den Haag Centraal]"
train_1,"[Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_1,"[Amersfoort, Utrecht Centraal, Hilversum]"
train_1,"[Groningen, Assen]"
train_1,"[s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Almelo, Hengelo, Enschede]"
train_1,"[Beverwijk, Castricum, Alkmaar, Hoorn]"
score,6376.131147540984
