train,stations
train_1,"[Roermond, Weert, Eindhoven, Helmond, Venlo]"
train_2,"[Apeldoorn, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_3,"[Alphen a/d Rijn, Gouda, Den Haag Centraal, Delft, Schiedam Centrum, Rotterdam Centraal, Dordrecht, Rotterdam Blaak, Rotterdam Alexander]"
train_4,"[Weert, Eindhoven, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Apeldoorn, Deventer, Almelo, Hengelo]"
train_5,"[Lelystad Centrum, Almere Centrum, Amsterdam Amstel, Hilversum]"
train_6,"[Arnhem Centraal, Ede-Wageningen]"
train_7,"[Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_8,"[Deventer, Almelo, Hengelo, Enschede]"
train_9,"[Deventer, Almelo, Hengelo, Enschede]"
train_10,"[Maastricht, Sittard, Heerlen]"
train_11,"[Sittard, Heerlen]"
train_12,"[Apeldoorn, Zutphen, Deventer, Zwolle, Amersfoort]"
train_13,"[Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Den Helder]"
train_14,"[s-Hertogenbosch, Tilburg, Breda, Etten-Leur, Roosendaal, Dordrecht, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum]"
train_15,"[Alkmaar, Den Helder]"
train_16,"[Steenwijk, Zwolle, Almelo, Hengelo, Enschede]"
train_17,"[Hengelo, Almelo, Zwolle, Deventer, Zutphen, Apeldoorn, Amersfoort]"
train_18,"[Tilburg, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_19,"[Delft, Den Haag HS, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Zaandam, Hoorn, Alkmaar, Den Helder]"
train_20,"[Leiden Centraal, Den Haag HS, Delft, Den Haag Laan v NOI, Gouda, Alphen a/d Rijn]"
score,6297.0
