train,stations
train_1,"[Delft, Den Haag Centraal, Gouda, Alphen a/d Rijn, Leiden Centraal, Den Haag Laan v NOI]"
train_2,"[Hengelo, Enschede]"
train_3,"[Alkmaar, Den Helder]"
train_4,"[Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_5,"[Dordrecht, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_6,"[Hengelo, Enschede]"
train_7,"[Almelo, Hengelo, Enschede]"
train_8,"[Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
train_9,"[Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amersfoort, Apeldoorn]"
train_10,"[Hilversum, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_11,"[Hengelo, Enschede]"
train_12,"[Zaandam, Castricum, Alkmaar, Hoorn]"
train_13,"[Hengelo, Enschede]"
train_14,"[Sittard, Heerlen]"
train_15,"[Helmond, Venlo]"
train_16,"[Tilburg, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_17,"[Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Zaandam, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Utrecht Centraal]"
train_18,"[Hengelo, Enschede]"
train_19,"[Hengelo, Enschede]"
train_20,"[Hengelo, Enschede]"
score,7008.0
