train,stations
train_1,"[Weert, Roermond, Sittard, Maastricht]"
train_2,"[Roermond, Sittard, Heerlen]"
train_3,"[Hengelo, Enschede]"
train_4,"[Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Gouda, Utrecht Centraal, Alphen a/d Rijn, Leiden Centraal, Den Haag Laan v NOI, Delft, Den Haag HS]"
train_5,"[Enschede, Hengelo, Almelo, Zwolle, Deventer, Apeldoorn, Zutphen]"
train_6,"[Den Haag Centraal, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Amstel, Utrecht Centraal, Amsterdam Centraal, Almere Centrum, Hilversum]"
train_7,"[Den Haag Laan v NOI, Delft, Den Haag Centraal, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_8,"[Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag HS, Gouda, Alphen a/d Rijn, Utrecht Centraal, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Hilversum]"
train_9,"[Vlissingen, Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
train_10,"[Helmond, Venlo]"
train_11,"[Hengelo, Enschede]"
train_12,"[Utrecht Centraal, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Beverwijk, Castricum, Alkmaar, Den Helder]"
train_13,"[Apeldoorn, Zutphen]"
train_14,"[Weert, Roermond, Sittard, Maastricht]"
train_15,"[Deventer, Almelo, Hengelo, Enschede]"
train_16,"[Tilburg, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_17,"[Zwolle, Deventer, Apeldoorn, Amersfoort, Utrecht Centraal, Gouda, Den Haag HS, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Zaandam]"
train_18,"[Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, s-Hertogenbosch, Tilburg, Breda, Dordrecht, Rotterdam Blaak, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander]"
train_19,"[Hengelo, Enschede]"
train_20,"[Assen, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen]"
score,5925.131147540984
