train,stations
train_1,"[Dieren, Zutphen, Deventer, Apeldoorn]"
train_2,"[Weert, Roermond, Sittard, Heerlen]"
train_3,"[Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda, Utrecht Centraal, Amersfoort]"
train_4,"[Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS]"
train_5,"[Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport]"
train_6,"[Apeldoorn, Deventer, Almelo, Hengelo, Enschede]"
train_7,"[Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Gouda, Utrecht Centraal, Hilversum]"
train_8,"[Zwolle, Deventer, Apeldoorn]"
train_9,"[s-Hertogenbosch, Tilburg, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_10,"[Zaandam, Castricum, Alkmaar, Den Helder]"
train_11,"[Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport]"
train_12,"[Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_13,"[Castricum, Beverwijk]"
train_14,"[Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Beverwijk]"
train_15,"[Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Castricum, Beverwijk]"
train_16,"[Maastricht, Sittard, Heerlen]"
train_17,"[Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Alphen a/d Rijn]"
train_18,"[s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_19,"[Eindhoven, Helmond, Venlo]"
train_20,"[Alkmaar, Hoorn]"
score,6794.065573770491
