train,stations
train_1,"[Almere Centrum, Lelystad Centrum]"
train_2,"[Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS]"
train_3,"[Alkmaar, Hoorn]"
train_4,"[Maastricht, Sittard, Heerlen]"
train_5,"[Dieren, Arnhem Centraal, Ede-Wageningen]"
train_6,"[Leeuwarden, Groningen, Assen]"
train_7,"[Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_8,"[Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Den Haag Centraal]"
train_9,"[Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Apeldoorn]"
train_10,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_11,"[Almelo, Hengelo, Enschede]"
train_12,"[Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Den Helder]"
train_13,"[Leeuwarden, Groningen, Assen]"
train_14,"[Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_15,"[Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_16,"[Beverwijk, Castricum, Alkmaar, Den Helder]"
train_17,"[Maastricht, Sittard, Heerlen]"
train_18,"[Roosendaal, Etten-Leur, Breda, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda, Utrecht Centraal, Amersfoort]"
train_19,"[Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport]"
train_20,"[Hilversum, Utrecht Centraal, Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS]"
score,6775.0
