train,stations
train_1,"[Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_2,"[Deventer, Almelo, Hengelo, Enschede]"
train_3,"[Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Beverwijk]"
train_4,"[Hengelo, Enschede]"
train_5,"[Hengelo, Enschede]"
train_6,"[Alphen a/d Rijn, Gouda, Den Haag HS, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Beverwijk, Haarlem, Heemstede-Aerdenhout]"
train_7,"[Hengelo, Enschede]"
train_8,"[Hilversum, Almere Centrum, Lelystad Centrum]"
train_9,"[Hengelo, Enschede]"
train_10,"[Dordrecht, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Den Haag Centraal, Gouda, Rotterdam Alexander, Rotterdam Centraal]"
train_11,"[Hoorn, Alkmaar, Den Helder]"
train_12,"[Nijmegen, Arnhem Centraal, Dieren, Zutphen, Apeldoorn, Amersfoort, Utrecht Centraal, Ede-Wageningen]"
train_13,"[Oss, s-Hertogenbosch, Tilburg, Eindhoven, Weert, Roermond, Sittard, Heerlen]"
train_14,"[Helmond, Venlo]"
train_15,"[Hengelo, Enschede]"
train_16,"[Hengelo, Enschede]"
train_17,"[Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_18,"[Hengelo, Enschede]"
train_19,"[Sittard, Maastricht]"
train_20,"[Hengelo, Enschede]"
score,7056.0
