train,stations
train_1,"[Castricum, Alkmaar, Hoorn]"
train_2,"[Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_3,"[Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Apeldoorn]"
train_4,"[Dieren, Arnhem Centraal, Ede-Wageningen]"
train_5,"[Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Almelo, Hengelo, Enschede]"
train_6,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_7,"[Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Beverwijk]"
train_8,"[Utrecht Centraal, Amersfoort]"
train_9,"[Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Apeldoorn]"
train_10,"[Heerlen, Sittard, Maastricht]"
train_11,"[Roermond, Weert, Eindhoven, Helmond, Venlo]"
train_12,"[Utrecht Centraal, Hilversum]"
train_13,"[Utrecht Centraal, Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS, Leiden Centraal, Alphen a/d Rijn]"
train_14,"[Den Haag HS, Leiden Centraal, Den Haag Laan v NOI]"
train_15,"[Utrecht Centraal, Amersfoort]"
train_16,"[Heemstede-Aerdenhout, Leiden Centraal, Den Haag Laan v NOI]"
train_17,"[Heemstede-Aerdenhout, Leiden Centraal, Den Haag Laan v NOI]"
train_18,"[Vlissingen, Roosendaal, Etten-Leur, Breda, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda, Utrecht Centraal, Hilversum]"
train_19,"[Den Helder, Alkmaar, Castricum, Beverwijk]"
train_20,"[Assen, Groningen, Leeuwarden, Heerenveen, Steenwijk, Zwolle, Deventer, Almelo, Hengelo, Enschede]"
score,6698.065573770491
