train,stations
train_1,"[Maastricht, Sittard, Heerlen]"
train_2,"[Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Gouda, Utrecht Centraal, Hilversum]"
train_3,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_4,"[Zutphen, Deventer, Almelo, Hengelo, Enschede]"
train_5,"[Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_6,"[Roosendaal, Vlissingen]"
train_7,"[Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Laan v NOI]"
train_8,"[Beverwijk, Castricum, Alkmaar, Den Helder]"
train_9,"[Den Haag Centraal, Leiden Centraal, Den Haag Laan v NOI]"
train_10,"[Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal]"
train_11,"[Tilburg, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_12,"[Enschede, Hengelo, Almelo, Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen]"
train_13,"[Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Hoorn]"
train_14,"[Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal]"
train_15,"[Eindhoven, Helmond, Venlo]"
train_16,"[Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_17,"[Amersfoort, Utrecht Centraal, Hilversum]"
train_18,"[Zwolle, Deventer, Apeldoorn]"
train_19,"[Alphen a/d Rijn, Leiden Centraal, Den Haag HS, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren]"
train_20,"[Beverwijk, Castricum, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
score,6805.0
