train,stations
train_1,"[Dordrecht, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Centraal, Gouda, Den Haag Laan v NOI, Leiden Centraal, Den Haag HS]"
train_2,"[Hoorn, Alkmaar, Castricum, Zaandam, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Centraal, Utrecht Centraal]"
train_3,"[Tilburg, Eindhoven, Weert, Roermond, Sittard, Heerlen]"
train_4,"[Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_5,"[Den Haag Centraal, Delft, Schiedam Centrum, Rotterdam Blaak, Dordrecht, Rotterdam Centraal, Rotterdam Alexander, Gouda, Alphen a/d Rijn, Leiden Centraal, Den Haag Laan v NOI]"
train_6,"[Steenwijk, Zwolle, Assen, Groningen, Leeuwarden, Heerenveen]"
train_7,"[Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_8,"[Eindhoven, Tilburg, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_9,"[Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Roosendaal, Vlissingen]"
train_10,"[Eindhoven, Helmond, Venlo]"
train_11,"[Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Almelo, Zwolle, Amersfoort, Apeldoorn]"
train_12,"[Utrecht Centraal, Schiphol Airport, Leiden Centraal, Alphen a/d Rijn, Gouda, Den Haag Laan v NOI, Delft, Den Haag HS]"
train_13,"[Almelo, Hengelo, Enschede]"
train_14,"[Hilversum, Amsterdam Amstel, Almere Centrum, Lelystad Centrum]"
train_15,"[Amsterdam Sloterdijk, Zaandam, Beverwijk, Castricum, Alkmaar, Den Helder]"
train_16,"[Apeldoorn, Deventer, Zwolle, Almelo, Hengelo, Enschede]"
train_17,"[Ede-Wageningen, Arnhem Centraal, Nijmegen, Oss]"
train_18,"[Almere Centrum, Lelystad Centrum]"
train_19,"[Hengelo, Enschede]"
train_20,"[s-Hertogenbosch, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
score,6281.0
