train,stations
train_1,"[Groningen, Assen]"
train_1,"[Castricum, Alkmaar, Hoorn]"
train_1,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_1,"[Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport]"
train_1,"[Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_1,"[Utrecht Centraal, Amersfoort]"
train_1,"[Roermond, Sittard, Maastricht]"
train_1,"[Dordrecht, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_1,"[Den Helder, Alkmaar, Hoorn]"
train_1,"[Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Centraal, Gouda, Alphen a/d Rijn, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Utrecht Centraal]"
train_1,"[Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport]"
train_1,"[Hengelo, Almelo, Deventer, Zutphen, Dieren, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Weert, Roermond, Sittard]"
train_1,"[Apeldoorn, Deventer, Almelo, Hengelo, Enschede]"
train_1,"[Hilversum, Utrecht Centraal, Amersfoort]"
train_1,"[Den Haag Laan v NOI, Leiden Centraal, Den Haag Centraal]"
train_1,"[Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Den Helder]"
train_1,"[Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal]"
train_1,"[Castricum, Beverwijk]"
train_1,"[Apeldoorn, Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen]"
train_1,"[Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Den Helder]"
score,6137.196721311475
